,Unnamed: 0,Food,Food_code,GRMS,KCAL,TFAT,SFAT,PROT,CARB,CHOL,SUGR,SODM,FIBE,co2,Food_type,ingredients,m_hei,f_hei
0,0,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunWhite potato, french fries, NS as to from fresh or frozenWhite potato, french fries, NS as to from fresh or frozen",170312480.0,450.0,902.8281085226728,42.34081104400345,13.400431406384817,36.61336401112069,94.22979580097784,87.43169398907104,4.95618828491995,1538.270539737321,9.401783146390564,3.798093559841755,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",4,2
1,1,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunWhite potato, french fries, NS as to from fresh or frozenPudding, rice",112121890.0,450.0,851.9515096029163,39.01564369654093,13.75915093987926,37.08352424171207,87.07785000801108,99.62186058801456,16.172736020234126,1310.1377500901708,7.601274153469417,3.879083110960457,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar']",4,4
2,2,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunWhite potato, french fries, NS as to from fresh or frozenNachos with beef, beans, cheese, and sour cream",157015560.0,450.0,1033.9960650818832,53.68193801061214,18.656008299804338,44.75525649872793,93.76573775279792,117.87907404112624,5.431499399879344,1515.1427075522984,10.53769270371461,4.332170483855013,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts']",4,2
3,3,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunPudding, riceWhite potato, french fries, NS as to from fresh or frozen",112121890.0,450.0,851.9515096029163,39.01564369654093,13.75915093987926,37.08352424171208,87.07785000801108,99.62186058801456,16.172736020234126,1310.1377500901708,7.601274153469417,3.879083110960457,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",4,4
4,4,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunPudding, ricePudding, rice",53931300.0,450.0,801.0749106831599,35.690476349078416,14.117870473373705,37.55368447230345,79.92590421504431,111.81202718695808,27.389283755548306,1082.0049604430203,5.800765160548268,3.96007266207916,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar']",2,3
5,5,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunPudding, riceNachos with beef, beans, cheese, and sour cream",98824970.0,450.0,983.1194661621269,50.35677066314962,19.01472783329878,45.22541672931931,86.61379195983116,130.06924064006978,16.64804713519352,1287.009917905148,8.737183710793461,4.413160034973715,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts']",4,2
6,6,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunNachos with beef, beans, cheese, and sour creamWhite potato, french fries, NS as to from fresh or frozen",157015560.0,450.0,1033.9960650818832,53.68193801061214,18.656008299804338,44.75525649872794,93.76573775279792,117.87907404112624,5.431499399879344,1515.1427075522984,10.53769270371461,4.332170483855013,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",4,2
7,7,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunNachos with beef, beans, cheese, and sour creamPudding, rice",98824970.0,450.0,983.1194661621269,50.356770663149625,19.01472783329878,45.22541672931931,86.61379195983116,130.06924064006978,16.64804713519352,1287.009917905148,8.737183710793461,4.413160034973715,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar']",4,2
8,8,"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunNachos with beef, beans, cheese, and sour creamNachos with beef, beans, cheese, and sour cream",143718640.0,450.0,1165.1640216410938,65.02306497722083,23.91158519322386,52.897148986335175,93.301679704618,148.32645409318144,5.906810514838737,1492.0148753672754,11.673602261038656,4.86624740786827,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts']",4,1
9,9,"Cheeseburger, plain, on bunWhite potato, french fries, NS as to from fresh or frozenWhite potato, french fries, NS as to from fresh or frozen",170312210.0,450.0,1088.6204582494486,47.75064710957722,17.88267184354328,46.790959639536,121.16968651136035,106.55737704918032,12.961652765794266,1937.1776435624577,9.128559102674718,3.839490214494636,main_dishsideside,"['milkfat', 'beefmeatbyproducts', 'cottonseedoil', 'soybeanoil', 'milkwater', 'beeffat', 'cornfieldsyrup', 'wheatflour', 'beefmeat', 'milknonfatsolids', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",3,1
